Date,Time,AKSUSE1QTS_M01U_ival,AKSUSE1QTS_M01U_unit,AKSUSE1MF01M01U_ival,AKSUSE1MF01M01U_unit,AKSUSE2QTS_M01U_ival,AKSUSE2QTS_M01U_unit,AKSUSE2MF01M01U_ival,AKSUSE2MF01M01U_unit,Aeration_rate:_total_of_5EE_if_all_14_aerators_per_tank_are_blowing_EnergieeinheitenBB1_ival,EnergieeinheitenBB1_unit,DO_AKBBBB1QO2_M01U_ival,DO_AKBBBB1QO2_M01U_unit,DO_AKBBBB1QO2_M02U_ival,DO_AKBBBB1QO2_M02U_unit,Schlammalter_ival,Schlammalter_unit,Aerobic_sludge_age_Aerobes_Schlammalter_ival,Aerobes_Schlammalter_unit,Ammonia_AKBVBW1QNH4H01_ival,AKBVBW1QNH4H01_unit,Nitric_oxide_AKBVBW1QNO_H01_ival,AKBVBW1QNO_H01_unit,phosphate_AKBVBW1QPO4H01_ival,AKBVBW1QPO4H01_unit,Redox_Potential_AKBVBW1QROXH01_ival,AKBVBW1QROXH01_unit,pH_in_tank_AKBVBW1QPH_H01_ival,AKBVBW1QPH_H01_unit,TS_AKBVBW1QTS_H01_ival,AKBVBW1QTS_H01_unit,AKBVBW1QTS_H02_ival,AKBVBW1QTS_H02_unit,AKBNKB1ML02H01RW01_ival,AKBNKB1ML02H01RW01_unit,AKBNKB2ML02H01RW01_ival,AKBNKB2ML02H01RW01_unit,AKBNKB3ML02H01RW01_ival,AKBNKB3ML02H01RW01_unit,AKBNKB4ML02H01RW01_ival,AKBNKB4ML02H01RW01_unit,BOD_AKMVKL2LBSBM12_ival,AKMVKL2LBSBM12_unit,AKMVKL2LBSBM11_ival,AKMVKL2LBSBM11_unit,COD_AKMVKL2LCSBM12_ival,AKMVKL2LCSBM12_unit,AKMVKL2LCSBM11_ival,AKMVKL2LCSBM11_unit,AKMVKL2LNH4M12_ival,AKMVKL2LNH4M12_unit,AKMVKL2LPO4M12_ival,AKMVKL2LPO4M12_unit,AKMVKL2LPO4M14_ival,AKMVKL2LPO4M14_unit,AKMVKL2LPH_M11_ival,AKMVKL2LPH_M11_unit,Conductivity_AKMVKL2LLF_M11_ival,AKMVKL2LLF_M11_unit,AKBBBB1XS02M11_ival,AKBBBB1XS02M11_unit,AKBNKB1XS01M21_ival,AKBNKB1XS01M21_unit,AKBNKB2XS01M21_ival,AKBNKB2XS01M21_unit,AKBNKB3XS01M21_ival,AKBNKB3XS01M21_unit,AKBNKB4XS01M21_ival,AKBNKB4XS01M21_unit
12.09.2025,20:00:00,1.41,g/l,0.00,m³/h,7.74,g/l,64.99,m³/h,2.0,EE,,mg/l,,mg/l,16.30,Tage,,Tage,4.0,mg/l,1.0,mg/l,0.1,mg/l,18,mV,7.04,,3.0,g/l,3.6,g/l,551,m³/h,522,m³/h,448,m³/h,693,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
12.09.2025,21:00:00,1.11,g/l,0.00,m³/h,7.91,g/l,64.97,m³/h,2.0,EE,,mg/l,,mg/l,16.00,Tage,,Tage,3.9,mg/l,0.8,mg/l,0.1,mg/l,12,mV,7.03,,3.1,g/l,3.6,g/l,537,m³/h,468,m³/h,322,m³/h,664,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
12.09.2025,22:00:00,1.24,g/l,0.00,m³/h,7.98,g/l,64.99,m³/h,2.0,EE,,mg/l,,mg/l,15.79,Tage,,Tage,4.2,mg/l,0.8,mg/l,0.2,mg/l,-13,mV,7.04,,3.0,g/l,3.6,g/l,542,m³/h,453,m³/h,485,m³/h,647,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
12.09.2025,23:00:00,1.36,g/l,0.00,m³/h,7.94,g/l,64.97,m³/h,2.8,EE,,mg/l,,mg/l,15.98,Tage,,Tage,5.0,mg/l,0.8,mg/l,0.3,mg/l,-0,mV,7.04,,3.1,g/l,3.6,g/l,546,m³/h,485,m³/h,330,m³/h,703,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,00:00:00,1.35,g/l,0.00,m³/h,7.84,g/l,64.98,m³/h,3.0,EE,,mg/l,,mg/l,16.21,Tage,,Tage,4.5,mg/l,1.0,mg/l,0.2,mg/l,52,mV,7.03,,3.1,g/l,3.6,g/l,508,m³/h,477,m³/h,466,m³/h,572,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,01:00:00,1.25,g/l,0.00,m³/h,7.53,g/l,64.92,m³/h,2.0,EE,,mg/l,,mg/l,16.87,Tage,,Tage,3.0,mg/l,1.6,mg/l,0.1,mg/l,60,mV,7.01,,3.1,g/l,3.6,g/l,490,m³/h,399,m³/h,343,m³/h,579,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,02:00:00,1.04,g/l,0.00,m³/h,8.25,g/l,64.90,m³/h,2.0,EE,,mg/l,,mg/l,15.45,Tage,,Tage,2.1,mg/l,1.4,mg/l,0.1,mg/l,70,mV,7.00,,3.1,g/l,3.6,g/l,464,m³/h,443,m³/h,332,m³/h,436,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,03:00:00,1.34,g/l,0.00,m³/h,7.64,g/l,64.76,m³/h,2.0,EE,,mg/l,,mg/l,16.77,Tage,,Tage,1.3,mg/l,1.1,mg/l,0.1,mg/l,78,mV,7.00,,3.1,g/l,3.6,g/l,417,m³/h,202,m³/h,265,m³/h,438,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,04:00:00,1.32,g/l,0.00,m³/h,8.09,g/l,64.83,m³/h,2.0,EE,,mg/l,,mg/l,15.71,Tage,,Tage,0.6,mg/l,1.1,mg/l,0.1,mg/l,89,mV,7.00,,3.1,g/l,3.6,g/l,366,m³/h,377,m³/h,296,m³/h,433,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,05:00:00,1.50,g/l,0.00,m³/h,6.97,g/l,64.64,m³/h,2.0,EE,,mg/l,,mg/l,18.31,Tage,,Tage,0.3,mg/l,1.2,mg/l,0.1,mg/l,103,mV,7.00,,3.1,g/l,3.6,g/l,370,m³/h,118,m³/h,179,m³/h,323,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,06:00:00,1.27,g/l,0.00,m³/h,8.17,g/l,64.77,m³/h,2.0,EE,,mg/l,,mg/l,15.65,Tage,,Tage,0.1,mg/l,1.5,mg/l,0.1,mg/l,111,mV,7.00,,3.1,g/l,3.6,g/l,346,m³/h,275,m³/h,253,m³/h,253,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,07:00:00,2.17,g/l,0.00,m³/h,6.83,g/l,64.63,m³/h,2.0,EE,,mg/l,,mg/l,18.85,Tage,,Tage,0.2,mg/l,1.8,mg/l,0.1,mg/l,109,mV,6.99,,3.1,g/l,3.6,g/l,330,m³/h,151,m³/h,127,m³/h,248,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,08:00:00,1.28,g/l,0.00,m³/h,7.97,g/l,64.70,m³/h,2.0,EE,,mg/l,,mg/l,15.98,Tage,,Tage,0.2,mg/l,2.4,mg/l,0.1,mg/l,111,mV,6.98,,3.1,g/l,3.6,g/l,312,m³/h,152,m³/h,214,m³/h,237,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,09:00:00,1.21,g/l,0.00,m³/h,6.76,g/l,64.63,m³/h,2.0,EE,,mg/l,,mg/l,18.91,Tage,,Tage,0.2,mg/l,2.8,mg/l,0.1,mg/l,109,mV,6.97,,3.1,g/l,3.6,g/l,329,m³/h,189,m³/h,127,m³/h,260,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,10:00:00,1.79,g/l,0.00,m³/h,7.48,g/l,64.76,m³/h,2.0,EE,,mg/l,,mg/l,17.01,Tage,,Tage,0.3,mg/l,3.5,mg/l,0.0,mg/l,106,mV,6.95,,3.1,g/l,3.6,g/l,321,m³/h,159,m³/h,211,m³/h,279,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,11.00,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,11:00:00,1.51,g/l,0.00,m³/h,7.70,g/l,64.83,m³/h,2.0,EE,,mg/l,,mg/l,16.51,Tage,,Tage,0.5,mg/l,4.1,mg/l,0.1,mg/l,96,mV,6.94,,3.1,g/l,3.5,g/l,359,m³/h,230,m³/h,183,m³/h,460,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,12:00:00,0.63,g/l,0.00,m³/h,7.90,g/l,64.90,m³/h,1.7,EE,,mg/l,,mg/l,15.88,Tage,,Tage,0.9,mg/l,4.5,mg/l,0.1,mg/l,82,mV,6.94,,3.1,g/l,3.5,g/l,432,m³/h,164,m³/h,275,m³/h,443,m³/h,,mg/l,,mg/l,926,mg/l,422,mg/l,,mg/l,,mg/l,,mg/l,7.4,pH,1.50,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,13:00:00,0.86,g/l,0.00,m³/h,8.69,g/l,65.02,m³/h,1.6,EE,,mg/l,,mg/l,14.28,Tage,,Tage,2.2,mg/l,3.9,mg/l,0.1,mg/l,56,mV,6.98,,3.0,g/l,3.5,g/l,487,m³/h,535,m³/h,273,m³/h,556,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,14:00:00,1.21,g/l,0.00,m³/h,6.32,g/l,50.96,m³/h,2.0,EE,,mg/l,,mg/l,15.74,Tage,,Tage,4.6,mg/l,2.6,mg/l,0.2,mg/l,59,mV,7.00,,3.0,g/l,3.5,g/l,516,m³/h,350,m³/h,378,m³/h,678,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,56.0,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,15:00:00,0.82,g/l,0.00,m³/h,0.00,g/l,37.90,m³/h,2.2,EE,,mg/l,,mg/l,15.49,Tage,,Tage,6.1,mg/l,2.3,mg/l,0.2,mg/l,59,mV,7.01,,3.0,g/l,3.5,g/l,519,m³/h,442,m³/h,347,m³/h,629,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,16:00:00,1.24,g/l,0.00,m³/h,0.00,g/l,17.57,m³/h,3.0,EE,,mg/l,,mg/l,15.49,Tage,,Tage,7.1,mg/l,2.0,mg/l,0.2,mg/l,62,mV,7.01,,3.0,g/l,3.5,g/l,515,m³/h,479,m³/h,432,m³/h,626,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,17:00:00,1.21,g/l,0.00,m³/h,0.00,g/l,0.00,m³/h,3.0,EE,,mg/l,,mg/l,15.49,Tage,,Tage,6.9,mg/l,2.8,mg/l,0.2,mg/l,67,mV,6.98,,3.1,g/l,3.5,g/l,506,m³/h,465,m³/h,370,m³/h,637,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,18:00:00,1.35,g/l,0.00,m³/h,6.46,g/l,53.71,m³/h,3.0,EE,,mg/l,,mg/l,16.23,Tage,,Tage,6.3,mg/l,3.8,mg/l,0.1,mg/l,60,mV,6.98,,3.1,g/l,3.5,g/l,537,m³/h,511,m³/h,364,m³/h,629,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,19:00:00,1.21,g/l,0.00,m³/h,8.29,g/l,64.97,m³/h,3.0,EE,,mg/l,,mg/l,15.01,Tage,,Tage,6.9,mg/l,3.9,mg/l,0.2,mg/l,44,mV,7.00,,3.0,g/l,3.5,g/l,636,m³/h,636,m³/h,421,m³/h,815,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,20:00:00,1.24,g/l,0.00,m³/h,7.90,g/l,64.93,m³/h,3.0,EE,,mg/l,,mg/l,15.85,Tage,,Tage,7.3,mg/l,3.4,mg/l,0.2,mg/l,66,mV,6.98,,3.0,g/l,3.5,g/l,628,m³/h,652,m³/h,690,m³/h,700,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,21:00:00,1.26,g/l,0.00,m³/h,7.73,g/l,64.88,m³/h,3.0,EE,,mg/l,,mg/l,16.29,Tage,,Tage,5.9,mg/l,4.0,mg/l,0.1,mg/l,83,mV,6.93,,3.0,g/l,3.5,g/l,609,m³/h,620,m³/h,497,m³/h,694,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,22:00:00,1.24,g/l,0.00,m³/h,7.71,g/l,64.80,m³/h,1.3,EE,,mg/l,,mg/l,16.29,Tage,,Tage,4.1,mg/l,5.0,mg/l,0.1,mg/l,77,mV,6.91,,3.0,g/l,3.5,g/l,564,m³/h,516,m³/h,364,m³/h,635,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
13.09.2025,23:00:00,1.38,g/l,0.00,m³/h,7.72,g/l,64.83,m³/h,1.4,EE,,mg/l,,mg/l,16.29,Tage,,Tage,3.8,mg/l,3.8,mg/l,0.1,mg/l,64,mV,6.93,,3.0,g/l,3.5,g/l,503,m³/h,428,m³/h,414,m³/h,529,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
14.09.2025,00:00:00,1.22,g/l,0.00,m³/h,8.22,g/l,64.84,m³/h,2.0,EE,,mg/l,,mg/l,15.40,Tage,,Tage,4.3,mg/l,2.0,mg/l,0.1,mg/l,78,mV,6.93,,3.1,g/l,3.5,g/l,451,m³/h,404,m³/h,243,m³/h,498,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
14.09.2025,01:00:00,1.25,g/l,0.00,m³/h,7.79,g/l,64.80,m³/h,2.0,EE,,mg/l,,mg/l,16.54,Tage,,Tage,3.5,mg/l,1.8,mg/l,0.1,mg/l,84,mV,6.91,,3.1,g/l,3.6,g/l,439,m³/h,403,m³/h,408,m³/h,540,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
14.09.2025,02:00:00,1.25,g/l,0.00,m³/h,8.25,g/l,64.77,m³/h,2.0,EE,,mg/l,,mg/l,15.75,Tage,,Tage,2.9,mg/l,1.9,mg/l,0.1,mg/l,87,mV,6.90,,3.1,g/l,3.6,g/l,415,m³/h,136,m³/h,181,m³/h,430,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
14.09.2025,03:00:00,1.29,g/l,0.00,m³/h,7.83,g/l,64.79,m³/h,2.0,EE,,mg/l,,mg/l,16.51,Tage,,Tage,2.1,mg/l,2.0,mg/l,0.1,mg/l,91,mV,6.88,,3.1,g/l,3.6,g/l,359,m³/h,417,m³/h,334,m³/h,475,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
14.09.2025,04:00:00,1.21,g/l,0.00,m³/h,7.31,g/l,64.70,m³/h,2.0,EE,,mg/l,,mg/l,17.62,Tage,,Tage,1.5,mg/l,2.3,mg/l,0.1,mg/l,97,mV,6.87,,3.1,g/l,3.6,g/l,375,m³/h,153,m³/h,171,m³/h,323,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
14.09.2025,05:00:00,1.24,g/l,0.00,m³/h,7.99,g/l,64.74,m³/h,2.0,EE,,mg/l,,mg/l,16.18,Tage,,Tage,0.8,mg/l,2.7,mg/l,0.1,mg/l,107,mV,6.87,,3.1,g/l,3.6,g/l,412,m³/h,153,m³/h,319,m³/h,358,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
14.09.2025,06:00:00,1.26,g/l,0.00,m³/h,7.09,g/l,64.70,m³/h,2.0,EE,,mg/l,,mg/l,18.07,Tage,,Tage,0.4,mg/l,3.2,mg/l,0.0,mg/l,113,mV,6.87,,3.1,g/l,3.6,g/l,344,m³/h,318,m³/h,148,m³/h,246,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
14.09.2025,07:00:00,1.28,g/l,0.00,m³/h,7.84,g/l,64.74,m³/h,2.0,EE,,mg/l,,mg/l,16.23,Tage,,Tage,0.3,mg/l,3.7,mg/l,0.0,mg/l,119,mV,6.87,,3.1,g/l,3.5,g/l,319,m³/h,120,m³/h,230,m³/h,298,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
14.09.2025,08:00:00,1.25,g/l,0.00,m³/h,6.84,g/l,64.63,m³/h,1.9,EE,,mg/l,,mg/l,18.62,Tage,,Tage,0.2,mg/l,4.3,mg/l,0.0,mg/l,121,mV,6.87,,3.1,g/l,3.5,g/l,298,m³/h,119,m³/h,128,m³/h,284,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
14.09.2025,09:00:00,1.26,g/l,0.00,m³/h,7.37,g/l,64.67,m³/h,1.5,EE,,mg/l,,mg/l,17.24,Tage,,Tage,0.3,mg/l,4.8,mg/l,0.0,mg/l,105,mV,6.87,,3.1,g/l,3.5,g/l,305,m³/h,219,m³/h,114,m³/h,268,m³/h,,mg/l,,mg/l,,mg/l,,mg/l,67.0,mg/l,,mg/l,,mg/l,,pH,,mS/cm,,g/l,,g/l,,g/l,,g/l,,g/l
